spcID	Status	Origin
Atriplex_muelleri_Benth.	Alien	SAPIA
Bromus_diandrus_Roth	Alien	SAPIA
Bromus_pectinatus_Thunb.	Alien	SAPIA
Hordeum_murinum_L.	Alien	SAPIA
Tephrocactus_articulatus_(Pfeiff.)_Backeb.	Alien	SAPIA
Pterocarya_stenoptera_C.DC.	Alien	SAPIA
Cirsium_arvense_(L.)_Scop.	Alien	SAPIA
Gmelina_arborea_Roxb.	Alien	SAPIA
Amaranthus_hybridus_L.	Alien	SAPIA
Boerhavia_erecta_L.	Alien	SAPIA
Celtis_sinensis_Pers.	Alien	SAPIA
Chamaesyce_serpens_(H.B.K.)_Small	Alien	SAPIA
Chenopodium_album_L.	Alien	SAPIA
Gomphrena_celosioides_Mart.	Alien	SAPIA
Guilleminea_densa_(Willd.)_Moq.	Alien	SAPIA
Lactuca_serriola_L.	Alien	SAPIA
Manihot_esculenta_Crantz	Alien	SAPIA
Physalis_viscosa_L.	Alien	SAPIA
Sisymbrium_orientale_L.	Alien	SAPIA
Taraxacum_officinale_Weber_(sensu_lato)	Alien	SAPIA
Tragopogon_dubius_Scop.	Alien	SAPIA
Triticum_aestivum_L.	Alien	SAPIA
Ulmus_parvifolia_Jacq.	Alien	SAPIA
Verbena_officinalis_L.	Alien	SAPIA
Wisteria_floribunda_(Willd.)_DC	Alien	SAPIA
Opuntia_ficus-indica/stricta?	Alien	SAPIA
Jatropha_gossypiifolia_L.	Alien	SAPIA
Prunus_cerasoides_D.Don	Alien	SAPIA
Limonium_sinuatum_(L.)_Miller	Alien	SAPIA
Centranthus_ruber_(L.)_DC	Alien	SAPIA
Azolla_sp.	Alien	SAPIA
Nicotiana_tabacum_L.	Alien	SAPIA
Ulmus_procera_Salisb.	Alien	SAPIA
Duranta_erecta_L.	Alien	SAPIA
Lilium_formosanum_A._Wallace	Alien	SAPIA
Anigozanthos_flavidus_DC.	Alien	SAPIA
Astartea_fascicularis_(Labill.)DC.	Alien	SAPIA
Baeckia_sp.	Alien	SAPIA
Banksia_ericifolia_L.f.	Alien	SAPIA
Banksia_integrifolia_L.f.	Alien	SAPIA
Callistemon_citrinus_(Curtis)Skeels	Alien	SAPIA
Chorizema_cordatum_Lindl.	Alien	SAPIA
Grevillea_rosmarinifolia_Cunn.	Alien	SAPIA
Grevillea_sericea_(Smith)R.Br.	Alien	SAPIA
Hakea_victoria_J.Drumm.	Alien	SAPIA
Melaleuca_wilsonii_F.Muell.	Alien	SAPIA
Pomaderris_kumeraho_A.Cunn.	Alien	SAPIA
Acanthospermum_australe_(Loefl.)Kuntze	Alien	SAPIA
Fallopia_convolvulus_(L.)_Á.Löve	Alien	SAPIA
Capsella_bursa-pastoris_(L.)Medik.	Alien	SAPIA
Euphorbia_peplus_L.	Alien	SAPIA
Linaria_genistifolia_(L.)_Mill._ssp._dalmatica_(L.)_Maire_&_Petitm.	Alien	SAPIA
Linaria_maroccana_Hook.f.	Alien	SAPIA
Oenothera_indecora_Cambess.	Alien	SAPIA
Oenothera_laciniata_Hill	Alien	SAPIA
Oenothera_tetraptera_Cav.	Alien	SAPIA
Polygonum_aviculare_L.	Alien	SAPIA
Rumex_acetosella_L._subsp._pyrenaicus_(Pourr._ex_Lapeyr.)_Akeroyd	Alien	SAPIA
Stellaria_media_(L.)Vill.	Alien	SAPIA
